Roll_No,Gender,Race_Ethnicity,Parental_Level_Of_Education,Lunch,Test_Preparation_Course,Math Score,Reading Score,Writing Score,Science Score,Total Score,Grade _,Eligibility,Percentage,Rank ,,Subject,Centum Count
Std-9999,Female,Group B,Some High School,1,0,87,60,100,89,336,A,Eligible,84,333,,Math,185
Std-9998,Female,Group B,Associate'S Degree,1,1,70,71,100,90,331,A,Eligible,82.75,466,,Reading,678
Std-9997,Female,Group C,Bachelor'S Degree,1,0,37,92,99,73,301,B,Eligible,75.25,1956,,Writing,602
Std-9996,Female,Group C,Some College,1,0,78,60,46,58,242,C,Eligible,60.5,7111,,Science,319
Std-9995,Female,Group B,Bachelor'S Degree,1,1,27,98,87,76,288,B,Eligible,72,3038,,,
Std-9994,Female,Group D,Associate'S Degree,1,0,59,71,81,51,262,B,Eligible,65.5,5475,,Subject,Fail Count
Std-9993,Female,Group D,Some College,0,1,72,94,65,55,286,B,Eligible,71.5,3238,,Math,1887
Std-9992,Female,Group C,High School,1,1,51,94,78,96,319,B,Eligible,79.75,905,,Reading,422
Std-9991,Female,Group E,Some High School,0,1,68,100,100,84,352,A,Eligible,88,93,,Writing,349
Std-9990,Female,Group C,Some High School,0,1,99,41,78,55,273,B,Eligible,68.25,4466,,Science,620
Std-999,Male,Group D,Master'S Degree,0,1,22,57,46,38,163,D,Not Eligible,40.75,9880,,,
Std-9989,Female,Group A,Associate'S Degree,0,0,31,95,58,57,241,C,Eligible,60.25,7197,,,
Std-9988,Female,Group B,Associate'S Degree,1,0,90,68,75,82,315,B,Eligible,78.75,1079,,,
Std-9987,Female,Group D,Some College,1,1,60,64,76,57,257,B,Eligible,64.25,5905,,,
Std-9986,Female,Group C,Some High School,1,0,73,60,58,81,272,B,Eligible,68,4563,,,
Std-9985,Female,Group D,High School,1,0,80,86,93,83,342,A,Eligible,85.5,217,,,
Std-9984,Female,Group E,Some High School,1,1,66,46,64,80,256,B,Eligible,64,5987,,,
Std-9983,Female,Group C,Master'S Degree,1,1,34,82,75,62,253,B,Eligible,63.25,6243,,,
Std-9982,Female,Group B,Associate'S Degree,1,1,51,69,50,77,247,C,Eligible,61.75,6731,,,
Std-9981,Female,Group D,Associate'S Degree,1,1,49,66,97,84,296,B,Eligible,74,2337,,,
Std-9980,Female,Group B,Some High School,1,0,74,70,79,73,296,B,Eligible,74,2337,,,
Std-998,Male,Group D,Bachelor'S Degree,1,0,45,81,97,82,305,B,Eligible,76.25,1658,,,
Std-9979,Female,Group B,Master'S Degree,1,0,91,58,76,92,317,B,Eligible,79.25,995,,,
Std-9978,Female,Group B,Bachelor'S Degree,1,0,89,40,81,64,274,B,Eligible,68.5,4358,,,
Std-9977,Female,Group E,Some High School,1,0,50,63,74,77,264,B,Eligible,66,5291,,,
Std-9976,Female,Group E,High School,1,0,79,74,51,58,262,B,Eligible,65.5,5475,,,
Std-9975,Female,Group C,High School,1,1,78,32,84,93,287,B,Eligible,71.75,3143,,,
Std-9974,Female,Group B,Associate'S Degree,0,1,70,84,80,66,300,B,Eligible,75,2035,,,
Std-9973,Female,Group C,Associate'S Degree,1,0,62,36,79,63,240,C,Eligible,60,7273,,,
Std-9972,Female,Group A,Associate'S Degree,1,0,87,66,76,61,290,B,Eligible,72.5,2860,,,
Std-9971,Female,Group C,High School,1,1,53,83,46,67,249,C,Eligible,62.25,6567,,,
Std-9970,Female,Group D,High School,1,1,60,74,98,56,288,B,Eligible,72,3038,,,
Std-997,Male,Group B,Some High School,1,1,100,64,48,61,273,B,Eligible,68.25,4466,,,
Std-9969,Female,Group D,Some College,1,1,78,84,79,69,310,B,Eligible,77.5,1359,,,
Std-9968,Female,Group C,Some College,1,0,33,71,97,79,280,B,Eligible,70,3790,,,
Std-9967,Female,Group A,Some High School,0,0,63,56,94,50,263,B,Eligible,65.75,5373,,,
Std-9966,Female,Group E,High School,1,0,65,89,73,81,308,B,Eligible,77,1474,,,
Std-9965,Female,Group D,Bachelor'S Degree,1,0,36,94,96,77,303,B,Eligible,75.75,1795,,,
Std-9964,Female,Group B,Master'S Degree,1,0,36,63,75,88,262,B,Eligible,65.5,5475,,,
Std-9963,Female,Group C,Some College,1,1,67,75,89,78,309,B,Eligible,77.25,1419,,,
Std-9962,Female,Group C,High School,1,0,57,84,84,62,287,B,Eligible,71.75,3143,,,
Std-9961,Female,Group D,Some College,1,0,61,81,82,93,317,B,Eligible,79.25,995,,,
Std-9960,Female,Group C,Associate'S Degree,1,1,58,96,88,53,295,B,Eligible,73.75,2414,,,
Std-996,Male,Group B,Master'S Degree,0,0,88,99,94,86,367,A,Eligible,91.75,22,,,
Std-9959,Female,Group B,High School,1,1,66,71,83,47,267,B,Eligible,66.75,5021,,,
Std-9958,Female,Group B,Some College,1,1,68,43,76,44,231,C,Eligible,57.75,7883,,,
Std-9957,Female,Group B,Some High School,1,0,57,77,62,64,260,B,Eligible,65,5646,,,
Std-9956,Female,Group B,Some College,0,1,90,100,97,53,340,A,Eligible,85,255,,,
Std-9955,Female,Group C,Some College,1,0,62,73,85,91,311,B,Eligible,77.75,1306,,,
Std-9954,Female,Group A,Some College,0,0,62,53,87,82,284,B,Eligible,71,3422,,,
Std-9953,Female,Group D,Some College,1,1,82,68,59,80,289,B,Eligible,72.25,2964,,,
Std-9952,Female,Group A,High School,0,1,76,100,25,58,259,B,Eligible,64.75,5736,,,
Std-9951,Female,Group C,Bachelor'S Degree,0,1,27,82,67,41,217,C,Eligible,54.25,8620,,,
Std-9950,Female,Group D,Associate'S Degree,1,1,72,48,63,51,234,C,Eligible,58.5,7684,,,
Std-995,Male,Group B,Associate'S Degree,0,0,38,48,39,32,157,D,Not Eligible,39.25,9911,,,
Std-9949,Female,Group E,Some High School,1,1,63,37,64,32,196,D,Not Eligible,49,9343,,,
Std-9948,Female,Group E,Some High School,1,1,89,97,100,58,344,A,Eligible,86,180,,,
Std-9947,Female,Group E,High School,0,0,49,100,70,60,279,B,Eligible,69.75,3892,,,
Std-9946,Female,Group C,Some College,1,1,97,51,78,53,279,B,Eligible,69.75,3892,,,
Std-9945,Female,Group C,High School,1,1,83,77,100,40,300,B,Eligible,75,2035,,,
Std-9944,Female,Group E,Some High School,1,1,27,55,94,50,226,C,Eligible,56.5,8156,,,
Std-9943,Female,Group C,High School,1,1,97,69,93,88,347,A,Eligible,86.75,142,,,
Std-9942,Female,Group D,Associate'S Degree,0,0,54,81,47,58,240,C,Eligible,60,7273,,,
Std-9941,Female,Group B,Some High School,1,0,46,63,100,59,268,B,Eligible,67,4934,,,
Std-9940,Female,Group C,Some College,1,1,55,85,84,98,322,A,Eligible,80.5,754,,,
Std-994,Male,Group C,Bachelor'S Degree,0,0,45,100,38,41,224,C,Eligible,56,8276,,,
Std-9939,Female,Group C,High School,0,0,83,82,88,86,339,A,Eligible,84.75,274,,,
Std-9938,Female,Group C,High School,0,0,72,51,54,85,262,B,Eligible,65.5,5475,,,
Std-9937,Female,Group D,Master'S Degree,1,0,74,60,88,72,294,B,Eligible,73.5,2500,,,
Std-9936,Female,Group C,High School,1,0,99,67,65,98,329,A,Eligible,82.25,526,,,
Std-9935,Female,Group E,Some High School,1,0,66,81,87,46,280,B,Eligible,70,3790,,,
Std-9934,Female,Group A,Associate'S Degree,1,1,27,77,100,57,261,B,Eligible,65.25,5557,,,
Std-9933,Female,Group B,Some High School,0,0,57,86,69,75,287,B,Eligible,71.75,3143,,,
Std-9932,Female,Group C,High School,1,0,63,77,63,68,271,B,Eligible,67.75,4646,,,
Std-9931,Female,Group A,High School,1,0,89,67,100,95,351,A,Eligible,87.75,100,,,
Std-9930,Female,Group E,Some College,1,1,95,85,69,61,310,B,Eligible,77.5,1359,,,
Std-993,Male,Group D,Some College,0,1,31,80,84,56,251,B,Eligible,62.75,6404,,,
Std-9929,Female,Group C,Bachelor'S Degree,1,0,85,73,70,52,280,B,Eligible,70,3790,,,
Std-9928,Female,Group A,Associate'S Degree,1,0,57,56,88,84,285,B,Eligible,71.25,3320,,,
Std-9927,Female,Group D,Bachelor'S Degree,1,0,49,90,48,38,225,C,Eligible,56.25,8211,,,
Std-9926,Female,Group E,Some High School,1,1,33,74,61,76,244,C,Eligible,61,6969,,,
Std-9925,Female,Group C,High School,1,1,80,80,69,65,294,B,Eligible,73.5,2500,,,
Std-9924,Female,Group B,Bachelor'S Degree,1,1,58,44,82,84,268,B,Eligible,67,4934,,,
Std-9923,Female,Group C,Some College,0,0,54,78,59,72,263,B,Eligible,65.75,5373,,,
Std-9922,Female,Group B,Master'S Degree,0,0,56,43,100,97,296,B,Eligible,74,2337,,,
Std-9921,Female,Group E,Some High School,1,1,61,75,86,66,288,B,Eligible,72,3038,,,
Std-9920,Female,Group B,Associate'S Degree,1,0,52,45,93,59,249,C,Eligible,62.25,6567,,,
